curso,no_ies,est,mun,val
FISIOTERAPIA,FACULDADE UNINASSAU MANAUS,PE,Recife,1234.02
FISIOTERAPIA,FACULDADE DE CAMPINA GRANDE,PB,Campina Grande,1233.33
DIREITO,FACULDADE DE CAMPINA GRANDE,PB,Campina Grande,1233.33
CI?CIAS CONT?BEIS,UNIVERSIDADE CAT?ICA DE PERNAMBUCO,PE,Recife,1231.93
FISIOTERAPIA,ESCOLA BAHIANA DE MEDICINA E SA?E P?LICA,BA,Salvador,1231.91
ENFERMAGEM,FACULDADE DE JUAZEIRO DO NORTE,CE,Juazeiro do Norte,1230.5
EDUCA?O F?ICA,FACULDADE DELTA,BA,Salvador,1230
FARM?CIA,Faculdade Pit?oras Bacabal Mearim,MA,Bacabal,1229.04
ENFERMAGEM,FACULDADE SETE DE SETEMBRO,BA,Paulo Afonso,1228.5
PSICOLOGIA,FACULDADE SETE DE SETEMBRO,BA,Paulo Afonso,1228.5
BIOMEDICINA,FACULDADE SETE DE SETEMBRO,BA,Paulo Afonso,1228.5
FISIOTERAPIA,Centro Universit?io da Amaz?ia,PB,Campina Grande,1227.93
PSICOLOGIA,Centro Universit?io Maur?io de Nassau de Campina Grande,PB,Campina Grande,1227.12
PEDAGOGIA,FACULDADE DO SUL,BA,Lauro de Freitas,1226
PEDAGOGIA,FACULDADE UNIME DE EDUCA?O E COMUNICA?O,BA,Lauro de Freitas,1226
EDUCA?O F?ICA,FACULDADE EST?CIO DE S? LU?,MA,S? Lu?,1225.61
NUTRI?O,FACULDADE S? SALVADOR,BA,Salvador,1224.87
PSICOLOGIA,FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,1224.83
NUTRI?O,Centro Universit?io Favip Wyden,PE,Caruaru,1224.55
BIOMEDICINA,Centro Universit?io FG,BA,Guanambi,1223.61
NUTRI?O,Centro Universit?io FG,BA,Guanambi,1223.61
FISIOTERAPIA,Centro Universit?io FG,BA,Guanambi,1223.61
ENGENHARIA MEC?ICA,FACULDADE UNINASSAU NATAL,RN,Natal,1221.35
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO DO RIO GRANDE DO NORTE,RN,Natal,1220.45
DIREITO,CENTRO UNIVERSIT?RIO TABOSA DE ALMEIDA,PE,Caruaru,1219.93
NUTRI?O,Faculdade Unirb - Barreiras,BA,Salvador,1218.44
FISIOTERAPIA,FACULDADE EST?CIO DE FEIRA DE SANTANA,BA,Feira de Santana,1218.31
ENGENHARIA CIVIL,Centro Universit?io Tiradentes de Pernambuco,PE,Recife,1216.15
FARM?CIA,FACULDADE MARIA MILZA,BA,Cruz das Almas,1214.93
FISIOTERAPIA,FACULDADE SANTA TEREZINHA,MA,S? Lu?,1213.98
DIREITO,Centro Universit?io Joaquim Nabuco de Paulista,PE,Recife,1213.4
FISIOTERAPIA,Faculdade Integral Diferencial Wyden,CE,Fortaleza,1211.39
EDUCA?O F?ICA,UNIVERSIDADE POTIGUAR,RN,Natal,1211.11
ENGENHARIA DE PRODU?O,Faculdade Unirb - Feira de Santana,BA,Alagoinhas,1211
ENGENHARIA CIVIL,Faculdade Unirb - Feira de Santana,BA,Alagoinhas,1211
ENGENHARIA DE PRODU?O,Centro Universit?io FBV Wyden,CE,Fortaleza,1210.86
FARM?CIA,Faculdade de Quixeramobim,CE,Quixeramobim,1208.61
DIREITO,Centro Universit?io Tiradentes de Pernambuco,PE,Recife,1205.73
FARM?CIA,FACULDADE UNINASSAU JO? PESSOA,PB,Jo? Pessoa,1205.4
NUTRI?O,CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,1202.16
ARQUITETURA E URBANISMO,Centro Universit?io de Ci?cias e Tecnologia do Maranh?,MA,Caxias,1201.62
ENFERMAGEM,FACULDADE UNINASSAU CARUARU,PE,Recife,1201.07
MEDICINA VETERIN?RIA,CENTRO UNIVERSIT?RIO BRASILEIRO,PE,Recife,1201.02
ENGENHARIA EL?RICA,FACULDADE INDEPENDENTE DO NORDESTE,BA,Vit?ia da Conquista,1200
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO CAT?ICA DE QUIXAD?,CE,Quixad?,1200
ENGENHARIA DE PRODU?O,FACULDADE INDEPENDENTE DO NORDESTE,BA,Vit?ia da Conquista,1200
DIREITO,FACULDADE BATISTA BRASILEIRA,BA,Salvador,1199.02
ENGENHARIA CIVIL,Centro Universit?io FACEX,RN,Natal,1197.16
FONOAUDIOLOGIA,Faculdade Pit?oras de Fortaleza,CE,Fortaleza,1197
EDUCA?O F?ICA,FACULDADE SOCIAL DA BAHIA,BA,Salvador,1196.68
DIREITO,FACULDADE REINALDO RAMOS,PB,Campina Grande,1196.52
PSICOLOGIA,CENTRO UNIVERSI?RIO UNIFTC,BA,Salvador,1195.39
DIREITO,FACULDADE DE CI?CIAS E EMPREENDEDORISMO,BA,Santo Ant?io de Jesus,1195.28
DIREITO,INSTITUTO FLORENCE DE ENSINO SUPERIOR,MA,S? Lu?,1194.42
PSICOLOGIA,FACULDADE PARA?O DO CEAR?,CE,Juazeiro do Norte,1192.02
ENFERMAGEM,FACULDADE UNINASSAU PARNAMIRIM,RN,Natal,1190.75
FARM?CIA,FACULDADE SANTA MARIA,PB,Cajazeiras,1190.61
ENFERMAGEM,CENTRO UNIVERSIT?RIO DOS GUARARAPES,PE,Jaboat? dos Guararapes,1190.2
FISIOTERAPIA,UNIVERSIDADE TIRADENTES,SE,Aracaju,1189
DIREITO,FACULDADE SANTA TEREZINHA,MA,S? Lu?,1188.39
DIREITO,Faculdade Dom Pedro II de Barreiras,BA,Salvador,1187.33
JORNALISMO,FACULDADE DO SUL,BA,Lauro de Freitas,1185
ENGENHARIA DE PRODU?O,Faculdade UNIRB - ARAPIRACA,BA,Salvador,1184.41
DIREITO,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU DE MACEI?,PE,Recife,1180.83
BIOMEDICINA,Centro Universit?io da Amaz?ia,PB,Campina Grande,1179.55
ENFERMAGEM,Faculdade Integral Diferencial Wyden,CE,Fortaleza,1179.43
FISIOTERAPIA,FACULDADE MARIA MILZA,BA,Cruz das Almas,1179.15
BIOMEDICINA,UNIVERSIDADE TIRADENTES,SE,Aracaju,1179
PEDAGOGIA,FACULDADE DELTA,BA,Salvador,1177
FISIOTERAPIA,CENTRO UNIVERSI?RIO UNIFTC DE FEIRA DE SANTANA,BA,Salvador,1176.91
FISIOTERAPIA,Centro Universit?io Maur?io de Nassau de Campina Grande,PB,Campina Grande,1176.68
FARM?CIA,FACULDADE UNINASSAU S? LU?,SE,Aracaju,1176.33
FISIOTERAPIA,Centro Universit?io de Ci?cias e Tecnologia do Maranh?,MA,Caxias,1175.02
PSICOLOGIA,CENTRO UNIVERSIT?RIO ATENEU,CE,Fortaleza,1174.68
NUTRI?O,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1174.43
PSICOLOGIA,UNIVERSIDADE SALVADOR,BA,Salvador,1173.66
FISIOTERAPIA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1173.33
FISIOTERAPIA,CENTRO UNIVERSIT?RIO DE PATOS,PB,Patos,1173.06
ENFERMAGEM,FACULDADE INDEPENDENTE DO NORDESTE,BA,Vit?ia da Conquista,1170.78
FISIOTERAPIA,CENTRO UNIVERSIT?RIO DOS GUARARAPES,PE,Jaboat? dos Guararapes,1170.09
PSICOLOGIA,CENTRO UNIVERSIT?RIO DE JO? PESSOA,PB,Jo? Pessoa,1167.27
DIREITO,CENTRO UNIVERSIT?RIO DE JO? PESSOA,PB,Jo? Pessoa,1167.27
DIREITO,FACULDADE TERRA NORDESTE,CE,Fortaleza,1164.45
DIREITO,FACULDADE DE ENSINO E CULTURA DO CEAR?,CE,Fortaleza,1164.13
ENGENHARIA EL?RICA,FACULDADE PIO D?IMO,SE,Aracaju,1164
ENGENHARIA CIVIL,FACULDADE PIO D?IMO,SE,Aracaju,1164
FARM?CIA,Faculdade de Imperatriz Wyden,MA,Imperatriz,1163.26
ENGENHARIA MECATR?ICA,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1163.08
FARM?CIA,FACULDADE DE ENSINO SUPERIOR DE FLORIANO,PI,Floriano,1162.88
BIOMEDICINA,FACULDADE UNINASSAU S? LU?,SE,Aracaju,1162.5
RADIOLOGIA,CENTRO UNIVERSIT?RIO UNIFAS,BA,Lauro de Freitas,1158
FISIOTERAPIA,FACULDADE DE ENSINO SUPERIOR DE FLORIANO,PI,Floriano,1157.91
ENGENHARIA CIVIL,FACULDADE VALE DO A?,MA,A?il?dia,1156.55
FISIOTERAPIA,FACULDADE UNINASSAU FORTALEZA,PE,Recife,1155.7
FISIOTERAPIA,CENTRO UNIVERSIT?RIO FACISA,PB,Campina Grande,1155.66
ENGENHARIA DE PRODU?O,FACULDADE UNINASSAU JO? PESSOA,PB,Jo? Pessoa,1154.56
ENGENHARIA MEC?ICA,FACULDADE UNINASSAU JO? PESSOA,PB,Jo? Pessoa,1154.56
BIOMEDICINA,Centro Universit?io Maur?io de Nassau de Campina Grande,PB,Campina Grande,1153.86
TERAPIA OCUPACIONAL,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1153.8
FARM?CIA,FACULDADE IREC?,BA,Irec?,1152.4
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO FACISA,PB,Campina Grande,1151.63
BIOMEDICINA,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,1151.32
NUTRI?O,UNIVERSIDADE POTIGUAR,RN,Natal,1150.11
ENGENHARIA AMBIENTAL,CENTRO UNIVERSIT?RIO TABOSA DE ALMEIDA,PE,Caruaru,1149.97
ENGENHARIA DE PRODU?O,CENTRO UNIVERSIT?RIO TABOSA DE ALMEIDA,PE,Caruaru,1149.97
DIREITO,FACULDADE PIO D?IMO,SE,Aracaju,1149.63
PSICOLOGIA,Centro Universit?io Fametro,CE,Fortaleza,1149.5
FARM?CIA,UNIVERSIDADE TIRADENTES,SE,Aracaju,1149
PSICOLOGIA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1147.88
ENGENHARIA CIVIL,FACULDADE IREC?,BA,Irec?,1147.59
DIREITO,FACULDADE EVOLU?O ALTO OESTE POTIGUAR,RN,Pau dos Ferros,1147.12
PSICOLOGIA,FACULDADE IREC?,BA,Irec?,1146.5
BIOMEDICINA,CENTRO UNIVERSIT?RIO TABOSA DE ALMEIDA,PE,Caruaru,1146.31
DIREITO,Centro Universit?io Joaquim Nabuco de Recife,PE,Recife,1146.11
ENFERMAGEM,Faculdade UNIRB - ARACAJU,SE,Aracaju,1146
LETRAS - PORTUGU? E INGL?,CENTRO UNIVERSIT?RIO S? MIGUEL,PE,Recife,1142.26
ENGENHARIA CIVIL,FACULDADE S? FRANCISCO DO CEAR?,PB,Cajazeiras,1142
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO CAT?ICA DE QUIXAD?,CE,Quixad?,1139.85
ENGENHARIA EL?RICA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1139.78
FARM?CIA,FACULDADE DE ENFERMAGEM NOVA ESPERAN?,PB,Jo? Pessoa,1139.25
NUTRI?O,FACULDADE UNINASSAU CARUARU,PE,Recife,1138.75
FARM?CIA,FACULDADE DO VALE DO JAGUARIBE,CE,Aracati,1136.66
ENGENHARIA AMBIENTAL,UNIVERSIDADE TIRADENTES,SE,Aracaju,1135.66
FARM?CIA,FACULDADE S? FRANCISCO DA PARA?A,PB,Cajazeiras,1134.61
DIREITO,"",MA,Pedreiras,1134.49
DIREITO,FACULDADE METROPOLITANA DA GRANDE RECIFE,PE,Jaboat? dos Guararapes,1134.3
ARQUITETURA E URBANISMO,UNIVERSIDADE TIRADENTES,SE,Aracaju,1134
ENGENHARIA DE PRODU?O,Centro Universit?io FG,BA,Guanambi,1130.64
ENGENHARIA DE PRODU?O,FACULDADE DO SUL DA BAHIA,BA,Teixeira de Freitas,1130.62
ARQUITETURA E URBANISMO,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,1130
ENGENHARIA CIVIL,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,1130
DIREITO,Faculdade Unirb - Mossor?,RN,Mossor?,1130
ENFERMAGEM,Faculdade de Imperatriz Wyden,MA,Imperatriz,1129.91
NUTRI?O,FACULDADE PERNAMBUCANA DE SA?E,PE,Recife,1129.83
SERVI? SOCIAL,FACULDADE DELTA,BA,Salvador,1129.8
DIREITO,Centro Universit?io FACEX,RN,Natal,1129.5
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO RITTER DOS REIS,PE,Jaboat? dos Guararapes,1129.45
DIREITO,INSTITUTO DE ENSINO SUPERIOR DO SUL DO MARANH?,MA,Imperatriz,1128.52
PSICOLOGIA,FACULDADE PIO D?IMO,SE,Aracaju,1128
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO,MA,S? Lu?,1127.25
FISIOTERAPIA,FACULDADE DO VALE DO JAGUARIBE,CE,Aracati,1124.75
ARQUITETURA E URBANISMO,Faculdade de Tecnologia e Ci?cias - FTC Petrolina,BA,Salvador,1124.57
PSICOLOGIA,FACULDADE UNINASSAU JO? PESSOA,PB,Jo? Pessoa,1123.75
ENGENHARIA DE CONTROLE E AUTOMA?O,Faculdade ?rea1 Wyden,CE,Fortaleza,1122.65
ENFERMAGEM,FACULDADE UNINASSAU PARNA?A,PI,Parna?a,1121.99
FARM?CIA,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1121.7
DIREITO,FACULDADE DO MARANH?,MA,S? Lu?,1121
ENFERMAGEM,Faculdade UNIRB - ARAPIRACA,BA,Salvador,1119
FARM?CIA,INSTITUTO FLORENCE DE ENSINO SUPERIOR,MA,S? Lu?,1117.77
DIREITO,Faculdade de Imperatriz Wyden,MA,Imperatriz,1117.75
SISTEMAS DE INFORMA?O,UNIVERSIDADE SALVADOR,BA,Salvador,1116.45
ENGENHARIA CIVIL,Centro Universit?io da Amaz?ia,PB,Campina Grande,1116.12
ADMINISTRA?O,Centro Universit?io FBV Wyden,CE,Fortaleza,1115.85
ENFERMAGEM,FACULDADE DE CI?CIAS E EMPREENDEDORISMO,BA,Santo Ant?io de Jesus,1115.36
DIREITO,FACULDADE UNINASSAU FORTALEZA,PE,Recife,1115.21
PSICOLOGIA,FACULDADE DE TECNOLOGIA E CI?CIAS DE JEQUI?,BA,Salvador,1115.17
DIREITO,FACULDADE SETE DE SETEMBRO,BA,Paulo Afonso,1115.1
BIOMEDICINA,FACULDADE DO SUL DA BAHIA,BA,Teixeira de Freitas,1114.45
BIOMEDICINA,Centro Universit?io Fanor Wyden,CE,Fortaleza,1113.56
DIREITO,Faculdade Pit?oras da Para?a,PB,Jo? Pessoa,1113.2
FISIOTERAPIA,Faculdade de Imperatriz Wyden,MA,Imperatriz,1112.1
ENGENHARIA CIVIL,FACULDADE MADRE THAIS,BA,Ilh?s,1111.5
NUTRI?O,CENTRO UNIVERSIT?RIO TABOSA DE ALMEIDA,PE,Caruaru,1110.86
ENFERMAGEM,FACULDADE MARIA MILZA,BA,Cruz das Almas,1109.79
ENGENHARIA AGRON?ICA,Faculdade UNIRB - ARACAJU,SE,Aracaju,1108.28
DIREITO,CENTRO UNIVERSIT?RIO SANTO AGOSTINHO,PI,Teresina,1107.36
ADMINISTRA?O,FACULDADE NOVA ROMA,PE,Recife,1107.06
DESIGN,Centro Universit?io FBV Wyden,CE,Fortaleza,1107.01
ENFERMAGEM,Centro Universit?io de Ci?cias e Tecnologia do Maranh?,MA,Caxias,1104.95
ENFERMAGEM,CENTRO UNIVERSIT?RIO DO RIO GRANDE DO NORTE,RN,Natal,1104.84
PSICOLOGIA,CENTRO UNIVERSIT?RIO DO RIO GRANDE DO NORTE,RN,Natal,1102.26
FISIOTERAPIA,Faculdade Unirb - Barreiras,BA,Salvador,1102.13
DIREITO,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,1100.56
ENGENHARIA DE PRODU?O,FACULDADE VALE DO A?,MA,A?il?dia,1100.03
DIREITO,FACULDADE MADRE THAIS,BA,Ilh?s,1100
ENFERMAGEM,Faculdade Unirb - Barreiras,BA,Salvador,1097.96
FISIOTERAPIA,FACULDADE PERNAMBUCANA DE SA?E,PE,Recife,1097.25
ARQUITETURA E URBANISMO,Centro Universit?io Fametro,CE,Fortaleza,1097.25
EDUCA?O F?ICA,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1096.89
FARM?CIA,FACULDADE REGIONAL DE ALAGOINHAS,BA,Salvador,1096
ENGENHARIA MECATR?ICA,UNIVERSIDADE TIRADENTES,SE,Aracaju,1094
DIREITO,Centro Universit?io Maur?io de Nassau de Campina Grande,PB,Campina Grande,1093.14
FARM?CIA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU DE MACEI?,PE,Recife,1093.08
ENGENHARIA DE COMPUTA?O,UNIVERSIDADE POTIGUAR,RN,Natal,1090.9
FARM?CIA,FACULDADE DE ENSINO E CULTURA DO CEAR?,CE,Fortaleza,1090.85
DIREITO,FACULDADE DO VALE DO JAGUARIBE,CE,Aracati,1089.91
ENFERMAGEM,FACULDADE DO VALE DO JAGUARIBE,CE,Aracati,1089.91
ENFERMAGEM,CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,1089.24
ENGENHARIA DE PETR?EO,UNIVERSIDADE TIRADENTES,SE,Aracaju,1089
ENGENHARIA EL?RICA,UNIVERSIDADE TIRADENTES,SE,Aracaju,1089
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,1088.54
ENFERMAGEM,FACULDADE VALE DO SALGADO,CE,Juazeiro do Norte,1088.04
FISIOTERAPIA,FACULDADE UNINASSAU PARNA?A,PI,Parna?a,1087.79
FISIOTERAPIA,Centro Universit?io Fametro,CE,Fortaleza,1087.75
FISIOTERAPIA,INSTITUTO DE ENSINO SUPERIOR DE TERESINA,PI,Teresina,1087.35
EDUCA?O F?ICA,Centro Universit?io Maur?io de Nassau de Campina Grande,PB,Campina Grande,1086.02
FISIOTERAPIA,FACULDADE DE ENFERMAGEM NOVA ESPERAN?,PB,Jo? Pessoa,1082.28
DIREITO,Faculdade Metropolitana de Maracana?,CE,Fortaleza,1082.08
ENFERMAGEM,CENTRO UNIVERSIT?RIO FACISA,PB,Campina Grande,1081.5
FARM?CIA,CENTRO UNIVERSIT?RIO FACISA,PB,Campina Grande,1081.5
ENFERMAGEM,CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,1080.75
ENFERMAGEM,CENTRO UNIVERSIT?RIO DE JO? PESSOA,PB,Jo? Pessoa,1080.53
FISIOTERAPIA,CENTRO UNIVERSIT?RIO DO RIO GRANDE DO NORTE,RN,Natal,1080.13
ENGENHARIA DE COMPUTA?O,FACULDADE UNIME DE CI?CIAS EXATAS E TECNOL?ICAS,BA,Lauro de Freitas,1080.08
ENGENHARIA AMBIENTAL,FACULDADE UNINASSAU NATAL,RN,Natal,1079.07
ENGENHARIA CIVIL,Faculdade UNIRB - ARACAJU,SE,Aracaju,1078
ENGENHARIA EL?RICA,Faculdade Integral Diferencial Wyden,CE,Fortaleza,1077.45
DIREITO,FACULDADE DE ENSINO SUPERIOR DE FLORIANO,PI,Floriano,1077.09
ENFERMAGEM,FACULDADE SANTA TEREZINHA,MA,S? Lu?,1076.25
ENGENHARIA DE COMPUTA?O,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1075.98
ENGENHARIA CIVIL,FACULDADE DOM PEDRO II DE TECNOLOGIA,BA,Salvador,1075.69
ENGENHARIA EL?RICA,FACULDADE DOM PEDRO II DE TECNOLOGIA,BA,Salvador,1075.69
NUTRI?O,FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,1075.06
ENGENHARIA MEC?ICA,FACULDADE UNINASSAU LAURO DE FREITAS,BA,Lauro de Freitas,1073.92
DIREITO,FACULDADE DO SUL DA BAHIA,BA,Teixeira de Freitas,1073.55
DIREITO,INSTITUTO DE EDUCA?O SUPERIOR DA PARA?A,PB,Jo? Pessoa,1072.43
ADMINISTRA?O,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,1072.01
PSICOLOGIA,FACULDADE DO VALE DO JAGUARIBE,CE,Aracati,1071.66
CI?CIAS CONT?BEIS,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,1069.71
FARM?CIA,Faculdade Integral Diferencial Wyden,CE,Fortaleza,1069.29
ENFERMAGEM,CENTRO UNIVERSIT?RIO DE PATOS,PB,Patos,1068.83
COMUNICA?O SOCIAL - PUBLICIDADE E PROPAGANDA,Centro Universit?io Favip Wyden,PE,Caruaru,1068.26
FISIOTERAPIA,CENTRO UNIVERSIT?RIO UNINOVAFAPI,PI,Teresina,1066.21
ENFERMAGEM,CENTRO UNIVERSIT?RIO SANTO AGOSTINHO,PI,Teresina,1065.64
FARM?CIA,Centro Universit?io Fametro,CE,Fortaleza,1064
ENGENHARIA EL?RICA,CENTRO UNIVERSIT?RIO SANTO AGOSTINHO,PI,Teresina,1063.38
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO SANTO AGOSTINHO,PI,Teresina,1063.38
PSICOLOGIA,FACULDADE SANT?SIMO SACRAMENTO,BA,Salvador,1063.05
DIREITO,FACULDADE S? FRANCISCO DA PARA?A,PB,Cajazeiras,1062.9
PSICOLOGIA,FACULDADE CASTRO ALVES,BA,Salvador,1062
AN?LISE E DESENVOLVIMENTO DE SISTEMAS,CENTRO UNIVERSIT?RIO RITTER DOS REIS,PE,Jaboat? dos Guararapes,1061.59
ENGENHARIA DE PRODU?O,CENTRO UNIVERSIT?RIO ATENEU,CE,Fortaleza,1061.16
DIREITO,CENTRO DE ENSINO SUPERIOR DO VALE DO PARNA?A,PI,Teresina,1059.9
ENFERMAGEM,UNIVERSIDADE CAT?ICA DE PERNAMBUCO,PE,Recife,1058.91
PSICOLOGIA,UNIVERSIDADE CAT?ICA DE PERNAMBUCO,PE,Recife,1058.5
ARQUITETURA E URBANISMO,UNIVERSIDADE CAT?ICA DE PERNAMBUCO,PE,Recife,1058.5
BIOMEDICINA,CENTRO UNIVERSIT?RIO DE PATOS,PB,Patos,1057.46
DIREITO,FACULDADE MARIA MILZA,BA,Cruz das Almas,1057.01
PSICOLOGIA,CENTRO UNIVERSIT?RIO DE PATOS,PB,Patos,1055.11
NUTRI?O,CENTRO UNIVERSIT?RIO DE PATOS,PB,Patos,1055.11
ENFERMAGEM,FACULDADE UNINASSAU VIT?IA DA CONQUISTA,BA,Vit?ia da Conquista,1054.82
ARQUITETURA E URBANISMO,CENTRO UNIVERSIT?RIO UNINOVAFAPI,PI,Teresina,1054.74
ENFERMAGEM,Faculdade Dom Pedro II de Sergipe,BA,Salvador,1054.25
EDUCA?O F?ICA,CENTRO UNIVERSIT?RIO DE PATOS,PB,Patos,1054.19
ENGENHARIA AMBIENTAL E SANIT?RIA,Centro Universit?io FG,BA,Guanambi,1054.1
ENGENHARIA CIVIL,UNIVERSIDADE TIRADENTES,SE,Aracaju,1054
ENGENHARIA CIVIL,Centro Universit?io Fametro,CE,Fortaleza,1053.62
ENFERMAGEM,Faculdade Pit?oras Bacabal Mearim,MA,Bacabal,1053.19
ENGENHARIA EL?RICA,FACULDADE UNINASSAU NATAL,RN,Natal,1052.96
ENFERMAGEM,FACULDADE PIT?GORAS INSTITUTO CAMILLO FILHO,PI,Teresina,1052.41
ENGENHARIA DE COMPUTA?O,FACULDADE INDEPENDENTE DO NORDESTE,BA,Vit?ia da Conquista,1052.22
DIREITO,Centro Universit?io de Ci?cias e Tecnologia do Maranh?,MA,Caxias,1051.05
FISIOTERAPIA,FACULDADE REGIONAL BRASILEIRA - MACEI?,BA,Salvador,1051
EDUCA?O F?ICA,CENTRO UNIVERSIT?RIO DE JO? PESSOA,PB,Jo? Pessoa,1050.54
PSICOLOGIA,FACULDADE NOBRE DE FEIRA DE SANTANA,BA,Feira de Santana,1050
FARM?CIA,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,1050
ENGENHARIA AMBIENTAL E SANIT?RIA,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,1050
NUTRI?O,FACULDADE NOBRE DE FEIRA DE SANTANA,BA,Feira de Santana,1050
FISIOTERAPIA,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,1050
BIOMEDICINA,FACULDADE NOBRE DE FEIRA DE SANTANA,BA,Feira de Santana,1050
ENGENHARIA MEC?ICA,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,1050
BIOMEDICINA,FACULDADE DE ENSINO SUPERIOR DA CIDADE DE FEIRA DE SANTANA,BA,Feira de Santana,1050
FARM?CIA,Centro Universit?io de Ci?cias e Tecnologia do Maranh?,MA,Caxias,1049.96
ENFERMAGEM,FACULDADE UNINASSAU TERESINA,PI,Teresina,1047.93
FARM?CIA,Centro Universit?io Maur?io de Nassau de Salvador,BA,Salvador,1047.07
ENGENHARIA EL?RICA,Centro Universit?io Maur?io de Nassau de Campina Grande,PB,Campina Grande,1046.19
ENFERMAGEM,FACULDADE DE ENSINO SUPERIOR DE FLORIANO,PI,Floriano,1044.38
ENGENHARIA MEC?ICA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU DE MACEI?,PE,Recife,1044.04
FARM?CIA,Centro Universit?io Maur?io de Nassau de Campina Grande,PB,Campina Grande,1043.29
FARM?CIA,FACULDADE PERNAMBUCANA DE SA?E,PE,Recife,1043.16
EDUCA?O F?ICA,CENTRO UNIVERSI?RIO UNIFTC SALVADOR,BA,Salvador,1043.06
BIOMEDICINA,FACULDADE UNINASSAU CARUARU,PE,Recife,1042.5
JORNALISMO,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1042.38
ENFERMAGEM,FACULDADE PERNAMBUCANA DE SA?E,PE,Recife,1042.37
ENFERMAGEM,Faculdade Uninassau Fortaleza Savanah,RN,Natal,1041.93
CI?CIAS CONT?BEIS,Centro Universit?io Ruy Barbosa Wyden,BA,Salvador,1041.64
ENGENHARIA CIVIL,FACULDADE UNINASSAU S? LU?,SE,Aracaju,1041.63
CI?CIAS CONT?BEIS,FACULDADE S? FRANCISCO DE JUAZEIRO,BA,Juazeiro,1040.8
ENGENHARIA MECATR?ICA,CENTRO UNIVERSIT?RIO TIRADENTES,SE,Aracaju,1040.41
ENGENHARIA DE PRODU?O,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1040.01
ENGENHARIA CIVIL,FACULDADE H?IO ROCHA,BA,Salvador,1040
ENGENHARIA QU?ICA,FACULDADE UNINASSAU MANAUS,PE,Recife,1039.9
FISIOTERAPIA,FACULDADE S? FRANCISCO DE JUAZEIRO,BA,Juazeiro,1039.86
CI?CIA DA COMPUTA?O,FACULDADE NOVA ROMA,PE,Recife,1039.41
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU DE MACEI?,PE,Recife,1038.82
ODONTOLOGIA,Centro Universit?io FBV Wyden,CE,Fortaleza,1038.52
AGRONOMIA,FACULDADE DO NORDESTE DA BAHIA,BA,Coronel Jo? S?,1038.4
BIOMEDICINA,Faculdade UNIRB - ARACAJU,SE,Aracaju,1037.8
