curso,no_ies,est,mun,val
ENGENHARIA DE PRODU?O,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,1880.93
ENFERMAGEM,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1877.31
ENGENHARIA QU?ICA,CENTRO UNIVERSIT?RIO JORGE AMADO,BA,Salvador,1874.82
MEDICINA VETERIN?RIA,FACULDADE DE JUAZEIRO DO NORTE,CE,Juazeiro do Norte,1872.77
DIREITO,FOCCA - FACULDADE DE OLINDA,PE,Olinda,1869.44
DIREITO,CENTRO UNIVERSIT?RIO CAT?ICA DE QUIXAD?,CE,Quixad?,1866.63
PSICOLOGIA,EST?CIO FATERN - FACULDADE EST?CIO DO RIO GRANDE DO NORTE,RN,Natal,1865.5
PSICOLOGIA,UNIVERSIDADE POTIGUAR,RN,Natal,1859.71
DIREITO,CENTRO UNIVERSIT?RIO DA GRANDE FORTALEZA,CE,Fortaleza,1857.33
ENGENHARIA DE PRODU?O,Centro Universit?io FACEX,RN,Natal,1853.08
MEDICINA VETERIN?RIA,FACULDADE DE TECNOLOGIA E CI?CIAS DE ITABUNA,BA,Salvador,1852.78
ENGENHARIA CIVIL,UNIVERSIDADE CAT?ICA DE PERNAMBUCO,PE,Recife,1852.37
NUTRI?O,FACULDADE DE JUAZEIRO DO NORTE,CE,Juazeiro do Norte,1843.16
ARQUITETURA E URBANISMO,UNIVERSIDADE POTIGUAR,RN,Natal,1842.05
ODONTOLOGIA,FACULDADE UNINASSAU ARACAJU,SE,Aracaju,1841.98
FISIOTERAPIA,FACULDADE SOCIAL DA BAHIA,BA,Salvador,1839.65
ARQUITETURA E URBANISMO,FACULDADE PARA?O DO CEAR?,CE,Juazeiro do Norte,1824.95
DIREITO,CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,1823.78
ENGENHARIA CIVIL,Faculdade ?rea1 Wyden,CE,Fortaleza,1822.27
ENGENHARIA EL?RICA,FACULDADE DELTA,BA,Salvador,1820
ENGENHARIA DE PRODU?O,Faculdade de Ci?cias Educacionais de Capim Grosso,BA,Capim Grosso,1808.3
ENFERMAGEM,CENTRO UNIVERSIT?RIO CAT?ICA DE QUIXAD?,CE,Quixad?,1804.33
MEDICINA VETERIN?RIA,FACULDADE PIO D?IMO,SE,Aracaju,1800
NUTRI?O,CENTRO UNIVERSIT?RIO ATENEU,CE,Fortaleza,1794.01
DIREITO,CENTRO UNIVERSIT?RIO INTA,CE,Sobral,1791.27
ENGENHARIA CIVIL,CENTRO UNIVERSIT?RIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO,MA,S? Lu?,1786.74
DIREITO,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1785.6
DIREITO,CENTRO UNIVERSIT?RIO CENECISTA DE OS?IO,PB,Jo? Pessoa,1785.38
DIREITO,FACULDADE SOCIAL DA BAHIA,BA,Salvador,1780.13
ARQUITETURA E URBANISMO,FACULDADE INDEPENDENTE DO NORDESTE,BA,Vit?ia da Conquista,1770
ENGENHARIA CIVIL,INSTITUTO DE EDUCA?O SUPERIOR DA PARA?A,PB,Jo? Pessoa,1768.98
ENGENHARIA DE PETR?EO,UNIVERSIDADE SALVADOR,BA,Salvador,1764.8
ODONTOLOGIA,Centro Universit?io FG,BA,Guanambi,1763.73
ENGENHARIA QU?ICA,CENTRO UNIVERSIT?RIO UBIRB,BA,Salvador,1760.4
CI?CIAS CONT?BEIS,CENTRO UNIVERSIT?RIO CENECISTA DE OS?IO,PB,Jo? Pessoa,1758
ENGENHARIA AMBIENTAL E SANIT?RIA,CENTRO UNIVERSIT?RIO MAUR?IO DE NASSAU,PE,Recife,1757.39
PSICOLOGIA,FACULDADE PRINCESA DO OESTE,CE,Crate?s,1754.63
ENFERMAGEM,EST?CIO FATERN - FACULDADE EST?CIO DO RIO GRANDE DO NORTE,RN,Natal,1749.14
NUTRI?O,CISNE - FACULDADE DE QUIXAD?,CE,Quixad?,1739.32
RELA?ES INTERNACIONAIS,UNIVERSIDADE DA AMAZ?IA,PB,Campina Grande,1739.06
ENGENHARIA DE PRODU?O,CENTRO UNIVERSIT?RIO CHRISTUS,CE,Fortaleza,1734.87
ENFERMAGEM,FACULDADE ADVENTISTA DA BAHIA,PE,Jaboat? dos Guararapes,1733.73
DIREITO,FACULDADE EST?CIO DE TERESINA,PI,Teresina,1730.3
DIREITO,FACULDADE PARA?O DO CEAR?,CE,Juazeiro do Norte,1729.4
