curso,est,mun,qtd
ENGENHARIA CIVIL,PB,Campina Grande,30
FISIOTERAPIA,PI,Floriano,30
FARM?CIA,BA,Irec?,29
CI?CIAS CONT?BEIS,PI,Floriano,29
ADMINISTRA?O,PB,Cajazeiras,29
BIOMEDICINA,BA,Cruz das Almas,29
ENFERMAGEM,PI,Parna?a,29
FISIOTERAPIA,PE,Escada,29
FARM?CIA,PE,Vit?ia de Santo Ant?,28
ENGENHARIA CIVIL,BA,Valen?,28
FISIOTERAPIA,BA,Eun?olis,28
ODONTOLOGIA,PE,Serra Talhada,28
NUTRI?O,BA,Guanambi,28
CI?CIAS CONT?BEIS,BA,Feira de Santana,28
ENGENHARIA CIVIL,BA,Juazeiro,27
ENFERMAGEM,PE,Olinda,27
ADMINISTRA?O,RN,Natal,27
ENFERMAGEM,BA,Ribeira do Pombal,27
CI?CIAS CONT?BEIS,BA,Guanambi,27
ENGENHARIA AMBIENTAL,SE,Aracaju,27
AGRONOMIA,BA,Coronel Jo? S?,27
MEDICINA VETERIN?RIA,AL,Macei?,27
PEDAGOGIA,MA,Caxias,27
FONOAUDIOLOGIA,BA,Salvador,26
CI?CIA DA COMPUTA?O,SE,Aracaju,26
ENGENHARIA DE PRODU?O,PB,Jo? Pessoa,26
ENGENHARIA AMBIENTAL E SANIT?RIA,BA,Salvador,26
NUTRI?O,MA,Caxias,26
ODONTOLOGIA,BA,Alagoinhas,26
ADMINISTRA?O,BA,Cruz das Almas,26
NUTRI?O,BA,Concei?o do Coit?,26
FISIOTERAPIA,BA,Ilh?s,26
EDUCA?O F?ICA,CE,Sobral,26
CI?CIAS CONT?BEIS,PI,Piripiri,25
EDUCA?O F?ICA,BA,Paulo Afonso,25
MEDICINA VETERIN?RIA,PB,Campina Grande,25
NUTRI?O,MA,Bacabal,25
PSICOLOGIA,RN,Pau dos Ferros,25
FONOAUDIOLOGIA,PI,Teresina,25
CI?CIAS CONT?BEIS,MA,Balsas,25
CI?CIAS CONT?BEIS,BA,Vit?ia da Conquista,25
PSICOLOGIA,PI,Parna?a,25
ENGENHARIA CIVIL,BA,Alagoinhas,25
ENFERMAGEM,MA,Timon,25
ENGENHARIA DE PRODU?O,MA,Caxias,24
EDUCA?O F?ICA,CE,Juazeiro do Norte,24
CI?CIAS CONT?BEIS,RN,Caic?,24
HIST?IA,BA,Salvador,24
ENGENHARIA CIVIL,RN,Natal,24
PEDAGOGIA,SE,Tobias Barreto,23
CI?CIAS CONT?BEIS,BA,Juazeiro,23
NUTRI?O,AL,Macei?,23
JORNALISMO,PE,Olinda,23
