no_ies,est,mun,qtd
FACULDADE MARANHENSE S? JOS?DOS COCAIS,MA,Timon,65
Faculdade Integral Diferencial Wyden,CE,Fortaleza,63
FACULDADE UNIME DE CI?CIAS SOCIAIS,BA,Lauro de Freitas,62
FACULDADE DO BAIXO PARNA?A,MA,Chapadinha,61
FACULDADE DO NORDESTE DA BAHIA,BA,Coronel Jo? S?,59
Centro Universit?io Joaquim Nabuco de Paulista,PE,Recife,56
FACULDADE DE ENSINO SUPERIOR DA PARA?A,PB,Cabedelo,56
FACULDADE UNINASSAU LAURO DE FREITAS,BA,Lauro de Freitas,55
Faculdade de Tecnologia e Ci?cias - FTC Petrolina,BA,Salvador,55
FACULDADES INTEGRADAS DE SERGIPE,SE,Tobias Barreto,54
FACULDADE UNINASSAU VIT?IA DA CONQUISTA,BA,Vit?ia da Conquista,53
FACULDADE DO MARANH?,MA,S? Lu?,51
Faculdade Paulo Pican?,CE,Fortaleza,51
INSTITUTO DE ENSINO SUPERIOR M?TIPLO,MA,Timon,48
CENTRO DE ENSINO SUPERIOR DO VALE DO PARNA?A,PI,Teresina,47
FACULDADE CAT?ICA SANTA TERESINHA,RN,Caic?,47
FACULDADE DE ENSINO E CULTURA DO CEAR?,CE,Fortaleza,45
Centro Universit?io FBV Wyden,CE,Fortaleza,45
FACULDADE UNINASSAU S? LU?,SE,Aracaju,44
FACULDADE DE TECNOLOGIA DE VALEN?,BA,Valen?,44
FACULDADE DA SEUNE,AL,Macei?,43
FACULDADE DOM LUIS DE ORLEANS E BRAGAN?,BA,Ribeira do Pombal,40
FACULDADE DE CI?CIAS APLICADAS E SOCIAIS DE PETROLINA,PE,Petrolina,39
"FACULDADES UNIDAS DE PESQUISA, CI?CIAS E SA?E LTDA",BA,Cruz das Almas,38
FACULDADE METROPOLITANA DA GRANDE RECIFE,PE,Jaboat? dos Guararapes,37
FACULDADE FIGUEIREDO COSTA - FIC,AL,Macei?,37
FACULDADE DOIS DE JULHO,BA,Salvador,36
FACULDADE DE CI?CIAS SOCIAIS APLICADAS,BA,Itamaraju,35
FACULDADE DE CI?CIAS HUMANAS DE PERNAMBUCO,PE,Recife,35
FACULDADE UNINASSAU MANAUS,PE,Recife,35
CENTRO UNIVERSIT?RIO DOS GUARARAPES,PE,Jaboat? dos Guararapes,35
FACULDADE DE TECNOLOGIA ATENEU,CE,Fortaleza,33
Faculdade ?rea1 Wyden,CE,Fortaleza,33
CENTRO UNIVERSIT?RIO UNIDADE DE ENSINO SUPERIOR DOM BOSCO,MA,S? Lu?,33
Faculdade Unirb - Parna?a,PI,Parna?a,32
INSTITUTO SUPERIOR DE EDUCA?O DE CAJAZEIRAS,PB,Cajazeiras,31
Faculdade Pit?oras da Para?a,PB,Jo? Pessoa,31
FACULDADE DE EDUCA?O SANTA TEREZINHA,MA,Imperatriz,31
FACULDADE REGIONAL BRASILEIRA - MACEI?,BA,Salvador,31
FACUDADE IEDUCARE - FIED,CE,Tiangu?,31
FACULDADE DAS ATIVIDADES EMPRESARIAIS DE TERESINA,PI,Teresina,30
"FACULDADE DE TECNOLOGIA, EDUCA?O SUPERIOR E PROFISSIONAL",PI,Teresina,29
FACITEN - FACULDADE DE CI?CIAS E TECNOLOGIAS DE NATAL,PB,Jo? Pessoa,28
FACULDADE AMADEUS,SE,Aracaju,28
FACULDADE CEARENSE,CE,Fortaleza,28
Centro Universit?io Joaquim Nabuco de Recife,PE,Recife,27
Faculdade do Complexo Educacional Santo Andr?,RN,A?,27
FACULDADE VALE DO A?,MA,A?il?dia,25
FACULDADE BAIANA DE DIREITO E GEST?,BA,Salvador,24
Faculdade de Imperatriz Wyden,MA,Imperatriz,24
Faculdade de Ci?cias Educacionais de Capim Grosso,BA,Capim Grosso,22
INSTITUTO DE ENSINO SUPERIOR DE FORTALEZA,CE,Fortaleza,22
Faculdade de Ci?cias de Timba?ba,PE,Timba?ba,21
FACULDADE S? LU? DE FRAN?,SE,Aracaju,21
